Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,1,1848.2241163040023,665.7943421647263,0.45091298144700726,2014.5554856485985,1343.2108626177655,0.8549512712837434,1177.7742519114258,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,2,1928.110787993786,804.9786019173185,0.5372839758618714,2022.0314905065522,1331.2011915781452,0.8550763575696798,1274.142562469845,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,3,1904.830065403855,742.6073873591938,0.4970400679384599,2079.2747563697035,1214.4567738485464,0.7680344680726493,1282.7068281734785,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,4,1932.3171354148146,779.9377816751982,0.5236492466341152,2076.095620967642,1277.893341493766,0.8205731128406389,1295.8776484508317,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,5,1933.5858822656294,798.8674684879072,0.5343580613795965,2078.249668691721,1251.6401200148584,0.807898168467339,1324.6427934896783,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,6,1919.3241090497486,829.453431324545,0.5572182606169335,2083.0391377442993,1324.745396822011,0.8480095800574707,1273.284066262868,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,1,1992.8713215166326,734.4865724911945,0.4568523663810937,2326.5863280923404,1947.241222817188,1.1046958860456313,1431.388563635645,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,2,2074.983850723753,934.1415377129562,0.5665454040593548,2289.4148678388483,1741.971241769712,0.9888451259120127,1585.136232424456,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,3,2064.5591669037512,852.782779801995,0.5385457562381868,2289.3233395841507,1511.8562591202483,0.8876392249548944,1699.9125296242642,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,4,2062.07712423199,976.7947901093536,0.5991946332770391,2239.2904904146167,1606.2743438135496,0.9424195771041377,1724.8321939236034,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,5,2061.1925994259504,746.5125023406155,0.4544916427944911,2325.434905099213,1281.6503733345187,0.7316289277042731,1690.66447342754,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,6,2069.5484139647547,1009.8636215353104,0.6127413095441316,2256.563021224768,1705.417285375684,0.9978435894577139,1902.956465032896,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,7,2063.005252367383,949.3329944950314,0.5766901716760156,2284.1051368791937,1453.4367720092414,0.8530239666310834,1621.1952789797137,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,75,,8,2063.069934175655,737.9336287276517,0.44347334747752754,2218.2017205343445,1256.253959413404,0.7186490185229033,1735.6009534569944,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,1,1894.245910905001,701.8153902818746,0.4850667694250069,2096.8865504312844,1423.2223846782633,0.8982626646773112,1240.6301486087189,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,2,1955.1473169220965,872.6497700975877,0.5886431012254689,2151.426333739476,1626.2525461506063,1.0019035217583963,1354.6001376632657,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,3,1949.391814632002,844.9021233409647,0.5748609400491026,2143.8070989388934,1389.4282084400918,0.9048382377323952,1328.9308621185205,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,4,1943.7588333758965,832.504409528636,0.5551364915960443,2102.2452015662852,1369.3358107722315,0.874166261739526,1485.7178883922093,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,5,1935.2755540752617,886.2403825149582,0.5936380970383084,2109.7595973381967,1414.3015291494928,0.8936895699567845,1416.1662097720387,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,6,1953.3637321356782,836.0879338938349,0.5654571388605059,2144.183324681293,1310.0863454408538,0.8498995380725761,1370.5517165620463,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,7,1924.0145699211362,802.2614429568347,0.5400852986385231,2148.7986948186544,1230.0807404983918,0.8074195509275831,1304.0844146917364,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,8,1930.9769011121218,751.0213777782169,0.5064503070029335,2099.350961021979,1224.3533504430159,0.7961487916314544,1278.1058081749293,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,9,1904.8450781202423,738.2496901951904,0.4993128453076921,2065.510454749862,1131.616822313881,0.738492866212806,1312.7126353451604,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,79,,10,1930.1278893470358,810.4883456347084,0.5468104478817651,2125.5561849507026,1290.085755210014,0.8360278875859817,1365.947943262403,,,,
