Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,1,1365.434300826852,445.97644774474895,0.46934193481010655,1502.110011164514,993.4913249858614,0.938519128307739,705.3128266758879,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,2,1472.9008114305677,681.4995892543412,0.6843590366879854,1624.8040168723753,1256.3177186341754,1.1258493838588663,768.8918157374504,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,3,1526.326289558195,687.4128214865777,0.6968813981950877,1670.75577118091,1291.8696276731343,1.1365414333533141,783.907786619133,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,4,1518.3659213525557,628.9658308057775,0.636832722540446,1755.7853997038296,1170.434551746997,1.0467364648945319,793.0689147904216,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,5,1480.5025659106673,625.6591540726721,0.6399436467635065,1755.2873978511398,1242.1432218579537,1.0893326178464693,746.3648830927596,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,6,1413.9919510358493,566.6668391070752,0.5708273278953009,1600.3341210861092,1019.8759809990045,0.9385472139271034,706.0316191725892,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,7,1367.65330997925,592.6562325674581,0.5919733311726781,1471.4714472545859,992.172636360242,0.9243630948741802,772.9855925042112,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,8,1396.5913660354142,601.5782721421199,0.6039774642333942,1513.1868699206416,956.5490432941982,0.9105381330217756,823.2869363897748,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,9,1411.095105062711,611.9125470382667,0.6136032210795471,1566.1605250402981,988.2069540191061,0.9478365851324725,805.0218287416562,,,,
Bulgarian Squat - BB,set,1,BULGARIANSQUAT_BARBELL,30,,10,1429.5499022590002,623.2333915894164,0.6150797979223284,1580.0026127256494,1065.111109509086,0.9705723834438925,841.2496516328627,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,1,1534.9648360218662,745.0771607021319,0.6731713824073243,1715.4235222469563,1307.9948867118787,1.1082914598174742,1187.1415429177073,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,2,1570.9275721245847,865.0849581952192,0.7655159590933088,1714.2409041318604,1526.578937077089,1.216906147609485,921.1372902590855,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,3,1607.1739650534817,769.8988477503312,0.7049507000746595,1892.194229084092,1455.022407778276,1.162728214593379,914.6973851660341,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,4,1589.9684180971499,672.2591177338329,0.6229159803102953,1743.1049432591574,1350.6272856826013,1.101788837818835,935.3772092442748,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,5,1546.2247249668765,684.1365884095076,0.6360699435680676,1822.4007498732474,1284.5712496733515,1.0462524839872356,968.1523176420171,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,6,1584.20362306911,795.3379904433571,0.7191022756420266,1741.687379982305,1526.627484108212,1.255070273301817,1048.5857917205233,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,7,1526.7446952713822,632.453966984982,0.5786869081613351,1710.584266964705,1102.3469296938606,0.9513877114676939,981.2748022943172,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,8,1546.2211873742008,706.7915739480499,0.641200657385139,1708.2548524445497,1198.2583657015507,0.9899081074772048,968.6770199880916,,,,
Bulgarian Squat - BB,set,2,BULGARIANSQUAT_BARBELL,30,,9,1584.512373935693,794.7798473315733,0.7131317327763727,1745.433307460386,1416.9613818860512,1.179609927313544,1078.0424908046514,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,1,1569.1704309463933,728.0481715343376,0.6675255372965495,1806.9705467616209,1405.0366130757325,1.1069183770896405,915.3806465231514,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,2,1549.4002220456225,762.7226018020021,0.6782182506527747,1760.6920555443257,1401.5445058861953,1.1230658472959656,994.7997202177992,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,3,1611.6753784993,785.7978580897004,0.7111829039196879,1769.3101192047586,1562.596799313768,1.2449839250073707,1042.6033950562871,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,4,1554.082918383162,806.276037938287,0.7298324333931994,1774.7611673923413,1431.4565232548862,1.1798523629095923,1082.7597404888566,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,5,1538.8732741960252,815.3495628335705,0.7265970865714761,1847.6397297126787,1329.2447554307523,1.140193860094795,1096.5320014131485,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,6,1524.583128179319,704.6841154053759,0.6463834272582707,1757.7850952285162,1132.3596994525387,0.9753322639600444,1150.7215679987555,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,7,1544.7502225861276,793.1926634116069,0.7201054467957549,1825.1948144787004,1340.99435434008,1.1333031254811208,1093.0641105929171,,,,
Bulgarian Squat - BB,set,3,BULGARIANSQUAT_BARBELL,30,,8,1540.3054069766622,793.2418833124221,0.7139778911006887,1833.9869322088289,1433.5649118856281,1.1613071935500703,1132.9798165765847,810,,,
Hip Thrust - BB,set,1,HIPTHRUST_BARBELL,50,,1,1706.16918594459,662.8212923039024,0.8163115923113481,1865.0963112542686,1254.862590478876,1.354209161349714,429.48440403562313,,,,
Hip Thrust - BB,set,2,HIPTHRUST_BARBELL,50,,1,1645.007719718284,714.196681538192,0.8603625008052043,1798.4650312308468,1699.4199344440956,1.6708620324025645,951.1278884861442,,,,
Hip Thrust - BB,set,2,HIPTHRUST_BARBELL,50,,2,1799.2574295758238,837.5869464686837,0.8296750390646012,2309.7778841630943,2892.6294996471543,2.031566858815501,760.1948644239126,,,,
Hip Thrust - BB,set,2,HIPTHRUST_BARBELL,50,,3,1652.4980053737609,747.6815343988575,0.8850734975456993,1867.9717750221648,1616.1582028278656,1.6234992643792747,980.9714633292301,,,,
Hip Thrust - BB,set,2,HIPTHRUST_BARBELL,50,,4,1684.821071741476,784.9028990625796,0.9271920507569389,1846.099710483393,1629.6319499871875,1.6551294379304273,887.4002593848201,,,,
Hip Thrust - BB,set,2,HIPTHRUST_BARBELL,50,,5,1641.481359399207,635.5975730774527,0.6720964840041221,1793.9305597795042,1367.5920459940464,1.2227336585044668,567.2283720641594,,,,
Hip Thrust - BB,set,3,HIPTHRUST_BARBELL,50,,1,1895.8341320149032,1190.691029424039,1.2214508502132695,2273.7983108143862,3238.7581133770773,2.3675755586258065,1030.791798060028,,,,
Hip Thrust - BB,set,3,HIPTHRUST_BARBELL,50,,2,2001.7605404618241,1498.8738533320302,1.367292964302675,2501.0678183141,4089.1038212623866,2.800192116587567,777.1109027366427,,,,
Hip Thrust - BB,set,3,HIPTHRUST_BARBELL,50,,3,1756.1764963599087,843.6765905050153,1.007871019526108,1959.875911421207,2276.3970159835903,1.9349743436596147,954.1566871597147,,,,
Hip Thrust - BB,set,3,HIPTHRUST_BARBELL,50,,4,1852.3713104951287,1087.6125139189007,1.1868419904019656,2132.6598730504857,2904.580183254569,2.3171176838685823,1001.7004073985364,,,,
Hip Thrust - BB,set,3,HIPTHRUST_BARBELL,50,,5,2637.605014738049,2194.696812867434,1.3920383567976464,3674.0498526821257,6582.932169317015,3.0038264170083173,618.3639540858669,550,,,
Power Snatch - BB,set,1,POWERSNATCH_BARBELL,30,,1,1503.2603233085008,1133.2775316552786,1.2413380207096432,1758.4444728438139,2040.6425757120371,1.7361370919015988,803.0084699847494,,,,
Power Snatch - BB,set,1,POWERSNATCH_BARBELL,30,,2,1643.89466790045,1545.2239496737848,1.4722509659913703,1808.5073710761208,2477.374316810853,2.0590922601277906,949.3138655886471,,,,
Power Snatch - BB,set,1,POWERSNATCH_BARBELL,30,,3,1620.9808310117298,1135.4683420150668,1.0928403461536127,1846.4749753044941,1928.744022920379,1.5284480365784794,645.490281375922,,,,
Power Snatch - BB,set,1,POWERSNATCH_BARBELL,30,,4,1665.0854755727441,1532.0836196812477,1.4750194921310384,1866.5363976641465,2767.161516322625,2.062964324658795,1016.161230349943,,,,
Power Snatch - BB,set,1,POWERSNATCH_BARBELL,30,,5,1707.1315285213273,1823.4507036869206,1.6299863498745715,2010.7300526185409,3285.900916931075,2.2797011886357645,996.1515262855401,,,,
Power Snatch - BB,set,2,POWERSNATCH_BARBELL,30,
Power Snatch - BB,set,3,POWERSNATCH_BARBELL,30,,1,1462.248266148902,1514.9573869989454,1.4690063284247628,2091.3844505693937,3276.9018882447376,2.054554305489179,1048.1582207817257,,,,
Power Snatch - BB,set,3,POWERSNATCH_BARBELL,30,,2,1608.1222497611031,1632.5228202712988,1.4046123251941123,2179.6199066081044,3106.722889339167,1.964492762509248,1029.2932809711942,,,,
Power Snatch - BB,set,3,POWERSNATCH_BARBELL,30,,3,1630.9577972857667,1463.9590489364823,1.370713101438929,2117.501653621614,2810.5951315168486,1.917081260753747,1045.0156347316413,,,,
Power Snatch - BB,set,3,POWERSNATCH_BARBELL,30,,4,1719.2810566928479,1888.3752158937962,1.7463033281466995,2003.8780489398875,3482.069553746076,2.4423822771282513,1186.1723506088165,,,,
Power Snatch - BB,set,3,POWERSNATCH_BARBELL,30,,5,1658.0279447299392,1931.6833244467678,1.791259474361396,1928.028745866774,3496.298245365386,2.505258006099855,1148.3529700276285,300,,,
