Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Bench Press - BB,set,1,BENCHPRESS_BARBELL,60,,1,805.5273203877578,535.7989919287971,0.7200433837616438,1008.1110869742506,1061.8992203556516,1.2923955166231402,1525.2146610943792,,,,
Bench Press - BB,set,1,BENCHPRESS_BARBELL,60,,2,826.1818013760806,599.206739533428,0.8056608893178014,1084.4227336612826,1048.338636550163,1.2952857163132987,832.7143475341425,,,,
Bench Press - BB,set,1,BENCHPRESS_BARBELL,60,,3,809.537718365935,564.2076533650122,0.7534261729134001,1031.7832703150023,876.3005985505963,1.1022983433650928,857.6774288948939,,,,
Bench Press - BB,set,1,BENCHPRESS_BARBELL,60,,4,797.788213257543,483.25223882926207,0.6629224064267196,1016.400438286857,742.4777184886717,0.993591588474782,836.7324596297929,,,,
Bench Press - BB,set,1,BENCHPRESS_BARBELL,60,,5,793.7567185013784,450.361926089874,0.6044362200947236,983.0765427243676,752.3896386121507,0.9514859649128813,910.0310142659957,,,,
Bench Press - BB,set,2,BENCHPRESS_BARBELL,60,,1,808.2846699514475,585.3606958485996,0.8147075912151786,982.27385243385,1064.7401150788207,1.3311856722500106,761.6740519451489,,,,
Bench Press - BB,set,2,BENCHPRESS_BARBELL,60,,2,813.8944761095842,560.3492551877843,0.7602952400113917,989.9509362482762,886.9763685434966,1.1175124274656194,825.6338302888379,,,,
Bench Press - BB,set,2,BENCHPRESS_BARBELL,60,,3,801.2425737368774,505.95852049260657,0.6774147557592745,1021.7530896384253,785.0088056979498,1.0182768676685217,883.6017531776894,,,,
Bench Press - BB,set,2,BENCHPRESS_BARBELL,60,,4,782.2580166537653,469.30883038987844,0.6588249228902362,904.1460860658285,766.2628100285101,1.0242896560691734,838.9288403962114,,,,
Bench Press - BB,set,3,BENCHPRESS_BARBELL,60,,1,790.8357194851983,485.1878470267763,0.6772238002688801,983.6680840268776,880.0486228797691,1.1392826558864748,756.6250907056974,,,,
Bench Press - BB,set,3,BENCHPRESS_BARBELL,60,,2,781.6372465584774,406.6872129031504,0.5603455035715105,1022.6560640089027,693.9858169449074,0.8252016314341635,854.1869728584952,,,,
Bench Press - BB,set,3,BENCHPRESS_BARBELL,60,,3,784.7085586320418,410.6344283584463,0.5632567298611435,967.7619472823859,662.7510991548689,0.8829874599281975,779.1534002892422,,,,
Bench Press - BB,set,3,BENCHPRESS_BARBELL,60,,4,785.9271317780369,369.57564969490437,0.5122315987169861,965.63091831886,619.4042271493967,0.8334142924954029,804.1177543762997,,,,
Bench Press - BB,set,3,BENCHPRESS_BARBELL,60,,5,781.070712385771,451.35193877432266,0.6327149866321798,978.1185267941473,774.65220705085,1.0310783003344102,831.0560575979703,840,,,
Pull-ups - Overhand Grip [Metrics Coming Soon],set,1,OVERHANDGRIPPULLUPS,0,
Pull-ups - Overhand Grip [Metrics Coming Soon],set,2,OVERHANDGRIPPULLUPS,0,
Pull-ups - Overhand Grip [Metrics Coming Soon],set,3,OVERHANDGRIPPULLUPS,0,
Bent-over Row - BB,set,1,BENTOVERROW_BARBELL,40,,1,1541.139320953579,502.7417321740867,0.5903621051133989,1648.500104409084,929.4642992388491,0.9454848399974237,584.1014355070029,,,,
Bent-over Row - BB,set,1,BENTOVERROW_BARBELL,40,,2,1524.9710165483643,612.4167316800482,0.7148507505126993,1693.4788698093464,1317.84405353978,1.307967852843133,716.3756943152166,,,,
Bent-over Row - BB,set,1,BENTOVERROW_BARBELL,40,,3,1532.6891599659525,579.5405480708628,0.7011258512401535,1716.6571059892844,1221.7807669710942,1.1976085141723933,705.9006007406435,,,,
Bent-over Row - BB,set,1,BENTOVERROW_BARBELL,40,,4,1532.9183953976953,579.5007358911841,0.6766222554680257,1661.0473986117356,1198.4836341731152,1.2054111786372201,674.394447032659,,,,
